"CHR","POS","GENE","GENE_BIOTYPE"
"MT",577,"MT-TF","Mt_tRNA"
"MT",578,"MT-TF","Mt_tRNA"
"MT",579,"MT-TF","Mt_tRNA"
"MT",580,"MT-TF","Mt_tRNA"
"MT",581,"MT-TF","Mt_tRNA"
"MT",582,"MT-TF","Mt_tRNA"
"MT",583,"MT-TF","Mt_tRNA"
"MT",584,"MT-TF","Mt_tRNA"
"MT",585,"MT-TF","Mt_tRNA"
"MT",586,"MT-TF","Mt_tRNA"
"MT",587,"MT-TF","Mt_tRNA"
"MT",588,"MT-TF","Mt_tRNA"
"MT",589,"MT-TF","Mt_tRNA"
"MT",590,"MT-TF","Mt_tRNA"
"MT",591,"MT-TF","Mt_tRNA"
"MT",592,"MT-TF","Mt_tRNA"
"MT",593,"MT-TF","Mt_tRNA"
"MT",594,"MT-TF","Mt_tRNA"
"MT",595,"MT-TF","Mt_tRNA"
"MT",596,"MT-TF","Mt_tRNA"
"MT",597,"MT-TF","Mt_tRNA"
"MT",598,"MT-TF","Mt_tRNA"
"MT",599,"MT-TF","Mt_tRNA"
"MT",600,"MT-TF","Mt_tRNA"
"MT",601,"MT-TF","Mt_tRNA"
"MT",602,"MT-TF","Mt_tRNA"
"MT",603,"MT-TF","Mt_tRNA"
"MT",604,"MT-TF","Mt_tRNA"
"MT",605,"MT-TF","Mt_tRNA"
"MT",606,"MT-TF","Mt_tRNA"
"MT",607,"MT-TF","Mt_tRNA"
"MT",608,"MT-TF","Mt_tRNA"
"MT",609,"MT-TF","Mt_tRNA"
"MT",610,"MT-TF","Mt_tRNA"
"MT",611,"MT-TF","Mt_tRNA"
"MT",612,"MT-TF","Mt_tRNA"
"MT",613,"MT-TF","Mt_tRNA"
"MT",614,"MT-TF","Mt_tRNA"
"MT",615,"MT-TF","Mt_tRNA"
"MT",616,"MT-TF","Mt_tRNA"
"MT",617,"MT-TF","Mt_tRNA"
"MT",618,"MT-TF","Mt_tRNA"
"MT",619,"MT-TF","Mt_tRNA"
"MT",620,"MT-TF","Mt_tRNA"
"MT",621,"MT-TF","Mt_tRNA"
"MT",622,"MT-TF","Mt_tRNA"
"MT",623,"MT-TF","Mt_tRNA"
"MT",624,"MT-TF","Mt_tRNA"
"MT",625,"MT-TF","Mt_tRNA"
"MT",626,"MT-TF","Mt_tRNA"
"MT",627,"MT-TF","Mt_tRNA"
"MT",628,"MT-TF","Mt_tRNA"
"MT",629,"MT-TF","Mt_tRNA"
"MT",630,"MT-TF","Mt_tRNA"
"MT",631,"MT-TF","Mt_tRNA"
"MT",632,"MT-TF","Mt_tRNA"
"MT",633,"MT-TF","Mt_tRNA"
"MT",634,"MT-TF","Mt_tRNA"
"MT",635,"MT-TF","Mt_tRNA"
"MT",636,"MT-TF","Mt_tRNA"
"MT",637,"MT-TF","Mt_tRNA"
"MT",638,"MT-TF","Mt_tRNA"
"MT",639,"MT-TF","Mt_tRNA"
"MT",640,"MT-TF","Mt_tRNA"
"MT",641,"MT-TF","Mt_tRNA"
"MT",642,"MT-TF","Mt_tRNA"
"MT",643,"MT-TF","Mt_tRNA"
"MT",644,"MT-TF","Mt_tRNA"
"MT",645,"MT-TF","Mt_tRNA"
"MT",646,"MT-TF","Mt_tRNA"
"MT",647,"MT-TF","Mt_tRNA"
"MT",648,"MT-RNR1","Mt_rRNA"
"MT",649,"MT-RNR1","Mt_rRNA"
"MT",650,"MT-RNR1","Mt_rRNA"
"MT",651,"MT-RNR1","Mt_rRNA"
"MT",652,"MT-RNR1","Mt_rRNA"
"MT",653,"MT-RNR1","Mt_rRNA"
"MT",654,"MT-RNR1","Mt_rRNA"
"MT",655,"MT-RNR1","Mt_rRNA"
"MT",656,"MT-RNR1","Mt_rRNA"
"MT",657,"MT-RNR1","Mt_rRNA"
"MT",658,"MT-RNR1","Mt_rRNA"
"MT",659,"MT-RNR1","Mt_rRNA"
"MT",660,"MT-RNR1","Mt_rRNA"
"MT",661,"MT-RNR1","Mt_rRNA"
"MT",662,"MT-RNR1","Mt_rRNA"
"MT",663,"MT-RNR1","Mt_rRNA"
"MT",664,"MT-RNR1","Mt_rRNA"
"MT",665,"MT-RNR1","Mt_rRNA"
"MT",666,"MT-RNR1","Mt_rRNA"
"MT",667,"MT-RNR1","Mt_rRNA"
"MT",668,"MT-RNR1","Mt_rRNA"
"MT",669,"MT-RNR1","Mt_rRNA"
"MT",670,"MT-RNR1","Mt_rRNA"
