"CHR","Map_Locus","POS","Description"
"MT","MT-HV2",57,"Hypervariable segment 2 [classic:73-340 ];H-strand origin"
"MT","MT-HV2",58,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",59,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",60,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",61,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",62,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",63,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",64,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",65,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",66,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",67,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",68,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",69,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",70,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",71,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",72,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",73,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",74,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",75,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",76,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",77,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",78,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",79,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",80,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",81,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",82,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",83,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",84,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",85,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",86,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",87,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",88,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",89,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",90,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",91,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",92,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",93,"Hypervariable segment 2 [classic:73-340 ]"
"MT","MT-HV2",94,"Hypervariable segment 2 [classic:73-340 ]"
